appid,positive,negative,owners,average_forever,price,genre,total_ratings,genres_Action,genres_Adventure,genres_Casual,genres_Indie,genres_Other,genres_RPG,catagories_fixed_Multi,catagories_fixed_Single,catagories_fixed_Single/Multi
684680,1131,259,200000,22,99.0,Action Games,1390,1,0,0,0,0,0,0,1,0
684720,184,94,0,7,99.0,Action Games,278,1,0,0,0,0,0,1,0,0
685200,44,14,0,3,0.0,Action Games,58,1,0,0,0,0,0,0,1,0
685310,292,70,100000,8716,0.0,Casual,362,0,0,1,0,0,0,0,1,0
685340,621,151,20000,1067,799.0,Action Games,772,1,0,0,0,0,0,0,1,0
685680,244,37,20000,10,999.0,Simulation,281,0,0,0,0,0,0,0,1,0
686180,258,176,20000,97,99.0,Adventure,434,0,1,0,0,0,0,0,1,0
686190,726,267,100000,129,199.0,Indie,993,0,0,0,1,0,0,0,1,0
686200,5086,292,200000,316,1399.0,Action,5378,1,0,0,0,0,0,0,0,1
686260,587,385,100000,642,499.0,Indie,972,0,0,0,1,0,0,0,0,1
686270,1,0,0,1,0.0,Adventure,1,0,1,0,0,0,0,0,1,0
686340,136,22,20000,25,0.0,Adventure,158,0,1,0,0,0,0,0,1,0
686600,719,975,50000,66,1999.0,Action Games,1694,1,0,0,0,0,0,1,0,0
686810,28222,6077,500000,2633,2999.0,Action,34299,1,0,0,0,0,0,1,0,0
686870,25,8,0,1,0.0,Free to Play,33,0,0,0,0,0,0,0,1,0
686900,133,41,20000,224,299.0,Casual,174,0,0,1,0,0,0,0,1,0
687260,810,116,20000,8,1799.0,Adventure,926,0,1,0,0,0,0,0,1,0
687320,10,4,0,2,0.0,Action Games,14,1,0,0,0,0,0,0,1,0
687630,66,40,20000,14,0.0,Adventure,106,0,1,0,0,0,0,0,0,1
687720,11,4,0,133,599.0,Adventure,15,0,1,0,0,0,0,0,1,0
687750,143,112,20000,101,499.0,Action Games,255,1,0,0,0,0,0,0,1,0
687850,411,117,50000,14,0.0,Action Games,528,1,0,0,0,0,0,1,0,0
687920,532,116,50000,278,999.0,Sexual Content,648,0,0,0,0,1,0,0,1,0
687980,304,18,20000,127,0.0,Free to Play,322,0,0,0,0,0,0,0,1,0
688130,2007,366,100000,2857,699.0,Action Games,2373,1,0,0,0,0,0,0,0,1
688140,77,39,0,173,1999.0,Casual,116,0,0,1,0,0,0,0,1,0
688420,3776,396,200000,341,1499.0,Action Games,4172,1,0,0,0,0,0,0,1,0
688470,1781,1443,100000,1734,699.0,Action Games,3224,1,0,0,0,0,0,0,0,1
688480,217,150,20000,403,2999.0,Action Games,367,1,0,0,0,0,0,1,0,0
688630,10,20,50000,3,0.0,Action Games,30,1,0,0,0,0,0,0,1,0
689090,691,99,20000,40,0.0,Free to Play,790,0,0,0,0,0,0,0,1,0
689580,397,42,1000000,127,0.0,Software Training,439,0,0,0,0,1,0,0,0,0
689650,152,139,0,205,199.0,Adventure,291,0,1,0,0,0,0,0,1,0
689830,12,6,0,20,0.0,Action Games,18,1,0,0,0,0,0,0,1,0
690040,6018,957,200000,147,999.0,Action,6975,1,0,0,0,0,0,0,1,0
